,id,type,truth,accuracy
0,1,audio,AI,0.0
1,1,audio,Real,0.3333333333333333
2,1,video,AI,1.0
3,1,video,Real,1.0
4,2,audio,AI,0.5
5,2,audio,Real,0.6666666666666666
6,2,video,AI,1.0
7,2,video,Real,0.5
8,3,audio,AI,0.0
9,3,audio,Real,1.0
10,3,video,AI,0.6666666666666666
11,3,video,Real,1.0
12,4,audio,AI,0.5
13,4,audio,Real,0.6666666666666666
14,4,video,AI,0.6666666666666666
15,4,video,Real,0.5
16,5,audio,AI,0.3333333333333333
17,5,audio,Real,1.0
18,5,video,AI,1.0
19,5,video,Real,1.0
20,6,audio,AI,1.0
21,6,audio,Real,1.0
22,6,video,AI,1.0
23,6,video,Real,0.6666666666666666
24,7,audio,AI,0.0
25,7,audio,Real,1.0
26,7,video,AI,1.0
27,7,video,Real,0.6666666666666666
28,8,audio,AI,0.0
29,8,audio,Real,0.3333333333333333
30,8,video,AI,0.6666666666666666
31,8,video,Real,0.5
32,9,audio,AI,0.3333333333333333
33,9,audio,Real,1.0
34,9,video,AI,1.0
35,9,video,Real,0.6666666666666666
36,10,audio,AI,1.0
37,10,audio,Real,1.0
38,10,video,AI,0.3333333333333333
39,10,video,Real,1.0
40,11,audio,AI,1.0
41,11,audio,Real,1.0
42,11,video,AI,1.0
43,11,video,Real,0.6666666666666666
44,12,audio,AI,0.5
45,12,audio,Real,0.6666666666666666
46,12,video,AI,0.3333333333333333
47,12,video,Real,0.5
48,13,audio,AI,0.5
49,13,audio,Real,0.3333333333333333
50,13,video,AI,1.0
51,13,video,Real,0.5
52,14,audio,AI,0.5
53,14,audio,Real,0.6666666666666666
54,14,video,AI,0.3333333333333333
55,14,video,Real,0.0
56,15,audio,AI,1.0
57,15,audio,Real,0.5
58,15,video,AI,1.0
59,15,video,Real,0.6666666666666666
60,16,audio,AI,0.0
61,16,audio,Real,0.5
62,16,video,AI,1.0
63,16,video,Real,0.3333333333333333
64,17,audio,AI,0.0
65,17,audio,Real,0.3333333333333333
66,17,video,AI,1.0
67,17,video,Real,1.0
68,18,audio,AI,0.6666666666666666
69,18,audio,Real,1.0
70,18,video,AI,0.5
71,18,video,Real,0.6666666666666666
72,19,audio,AI,0.5
73,19,audio,Real,0.6666666666666666
74,19,video,AI,1.0
75,19,video,Real,1.0
76,20,audio,AI,1.0
77,20,audio,Real,1.0
78,20,video,AI,0.6666666666666666
79,20,video,Real,0.5
